# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
16

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,HVYNISNPNK,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
3.840943104977216027e+00, 1.147341047696044392e+00, -3.940869565217393067e-01, 1.399999999999999911e+00, 0.000000000000000000e+00
3.842867342908732553e+00, 1.048746682402315500e+00, -8.162681859694846942e-01, 1.399999999999999911e+00, 2.500000000000000000e-01
3.846544862619736271e+00, 7.920852213532101338e-01, -1.154079423693448847e+00, 1.399999999999999911e+00, 5.000000000000000000e-01
3.849296042766854331e+00, 4.311277641741774191e-01, -1.368080837578913300e+00, 1.399999999999999911e+00, 7.500000000000000000e-01
3.850293941134482090e+00, -3.597122599785507304e-17, -1.441799385467298578e+00, 1.399999999999999911e+00, 1.000000000000000000e+00
3.849296042766854331e+00, -4.311277641741772526e-01, -1.368080837578912856e+00, 1.399999999999999911e+00, 1.250000000000000000e+00
3.846544862619736271e+00, -7.920852213532101338e-01, -1.154079423693448847e+00, 1.399999999999999911e+00, 1.500000000000000000e+00
3.842867342908734329e+00, -1.048746682402316166e+00, -8.162681859694846942e-01, 1.399999999999999911e+00, 1.750000000000000000e+00
3.840943104977216471e+00, -1.147341047696044392e+00, -3.940869565217393067e-01, 1.399999999999999911e+00, 2.000000000000000000e+00
3.842867342908732997e+00, -1.048746682402316388e+00, 2.809427292600607390e-02, 1.399999999999999911e+00, 2.250000000000000000e+00
3.846544862619736271e+00, -7.920852213532102448e-01, 3.659055106499701226e-01, 1.399999999999999911e+00, 2.500000000000000000e+00
3.849296042766854331e+00, -4.311277641741773081e-01, 5.799069245354337987e-01, 1.399999999999999911e+00, 2.750000000000000000e+00
3.850293941134482090e+00, 4.283654770611131163e-18, 6.536254724238199643e-01, 1.399999999999999911e+00, 3.000000000000000000e+00
3.849296042766853443e+00, 4.311277641741770861e-01, 5.799069245354337987e-01, 1.399999999999999911e+00, 3.250000000000000000e+00
3.846544862619736271e+00, 7.920852213532100228e-01, 3.659055106499701226e-01, 1.399999999999999911e+00, 3.500000000000000000e+00
3.842867342908732997e+00, 1.048746682402316166e+00, 2.809427292600614676e-02, 1.399999999999999911e+00, 3.750000000000000000e+00
3.840943104977216027e+00, 1.147341047696044392e+00, -3.940869565217393067e-01, 1.399999999999999911e+00, 4.000000000000000000e+00
4.389948851585502965e+00, 1.159137668160999279e+00, -3.233043478260875236e-01, 1.600000000000000089e+00, 0.000000000000000000e+00
4.391231676873180056e+00, 1.062405974303889167e+00, -7.894669025341276569e-01, 1.600000000000000089e+00, 2.500000000000000000e-01
4.393683356680516461e+00, 8.067745022498091778e-01, -1.165577905267562109e+00, 1.600000000000000089e+00, 5.000000000000000000e-01
4.395517476778595167e+00, 4.408144311928523518e-01, -1.410023069111829397e+00, 1.600000000000000089e+00, 7.500000000000000000e-01
4.396182742357012785e+00, -2.398081733190337484e-17, -1.496499300456460402e+00, 1.600000000000000089e+00, 1.000000000000000000e+00
4.395517476778595167e+00, -4.408144311928521297e-01, -1.410023069111828953e+00, 1.600000000000000089e+00, 1.250000000000000000e+00
4.393683356680516461e+00, -8.067745022498093999e-01, -1.165577905267562109e+00, 1.600000000000000089e+00, 1.500000000000000000e+00
4.391231676873182721e+00, -1.062405974303889611e+00, -7.894669025341277679e-01, 1.600000000000000089e+00, 1.750000000000000000e+00
4.389948851585502965e+00, -1.159137668160999279e+00, -3.233043478260875236e-01, 1.600000000000000089e+00, 2.000000000000000000e+00
4.391231676873180945e+00, -1.062405974303890055e+00, 1.428582068819528039e-01, 1.600000000000000089e+00, 2.250000000000000000e+00
4.393683356680516461e+00, -8.067745022498093999e-01, 5.189692096153869505e-01, 1.600000000000000089e+00, 2.500000000000000000e+00
4.395517476778595167e+00, -4.408144311928521297e-01, 7.634143734596536834e-01, 1.600000000000000089e+00, 2.750000000000000000e+00
4.396182742357012785e+00, 2.855769847074086030e-18, 8.498906048042853545e-01, 1.600000000000000089e+00, 3.000000000000000000e+00
4.395517476778595167e+00, 4.408144311928519077e-01, 7.634143734596536834e-01, 1.600000000000000089e+00, 3.250000000000000000e+00
4.393683356680516461e+00, 8.067745022498091778e-01, 5.189692096153869505e-01, 1.600000000000000089e+00, 3.500000000000000000e+00
4.391231676873180945e+00, 1.062405974303889611e+00, 1.428582068819528317e-01, 1.600000000000000089e+00, 3.750000000000000000e+00
4.389948851585502965e+00, 1.159137668160999279e+00, -3.233043478260875236e-01, 1.600000000000000089e+00, 4.000000000000000000e+00
4.942636398795858810e+00, 1.153253162114272534e+00, -2.640000000000009006e-01, 1.800000000000000044e+00, 0.000000000000000000e+00
4.943064007225085099e+00, 1.060704636778417420e+00, -7.619623581609978880e-01, 1.800000000000000044e+00, 2.500000000000000000e-01
4.943881233827529975e+00, 8.110802721717550456e-01, -1.167210302784181364e+00, 1.800000000000000044e+00, 5.000000000000000000e-01
4.944492607193557099e+00, 4.453204737017088521e-01, -1.437456742625798700e+00, 1.800000000000000044e+00, 7.500000000000000000e-01
4.944714362386362083e+00, -7.993605777301124946e-18, -1.535518317543458577e+00, 1.800000000000000044e+00, 1.000000000000000000e+00
4.944492607193557099e+00, -4.453204737017086301e-01, -1.437456742625798478e+00, 1.800000000000000044e+00, 1.250000000000000000e+00
4.943881233827529975e+00, -8.110802721717550456e-01, -1.167210302784181364e+00, 1.800000000000000044e+00, 1.500000000000000000e+00
4.943064007225086876e+00, -1.060704636778417642e+00, -7.619623581609978880e-01, 1.800000000000000044e+00, 1.750000000000000000e+00
4.942636398795858810e+00, -1.153253162114272534e+00, -2.640000000000009006e-01, 1.800000000000000044e+00, 2.000000000000000000e+00
4.943064007225085099e+00, -1.060704636778418086e+00, 2.339623581609961978e-01, 1.800000000000000044e+00, 2.250000000000000000e+00
4.943881233827529087e+00, -8.110802721717550456e-01, 6.392103027841796736e-01, 1.800000000000000044e+00, 2.500000000000000000e+00
4.944492607193557987e+00, -4.453204737017087966e-01, 9.094567426257962328e-01, 1.800000000000000044e+00, 2.750000000000000000e+00
4.944714362386362083e+00, 9.519232823580286766e-19, 1.007518317543456776e+00, 1.800000000000000044e+00, 3.000000000000000000e+00
4.944492607193557099e+00, 4.453204737017085191e-01, 9.094567426257962328e-01, 1.800000000000000044e+00, 3.250000000000000000e+00
4.943881233827529087e+00, 8.110802721717549346e-01, 6.392103027841796736e-01, 1.800000000000000044e+00, 3.500000000000000000e+00
4.943064007225085099e+00, 1.060704636778418086e+00, 2.339623581609961978e-01, 1.800000000000000044e+00, 3.750000000000000000e+00
4.942636398795858810e+00, 1.153253162114272534e+00, -2.640000000000009006e-01, 1.800000000000000044e+00, 4.000000000000000000e+00
5.500000000000000000e+00, 1.147363636363636363e+00, -2.391304347826097576e-01, 2.000000000000000000e+00, 0.000000000000000000e+00
5.499999999999999112e+00, 1.057138459825558430e+00, -7.493324269117982439e-01, 2.000000000000000000e+00, 2.500000000000000000e-01
5.500000000000000000e+00, 8.111495292317932870e-01, -1.166158468190373387e+00, 2.000000000000000000e+00, 5.000000000000000000e-01
5.500000000000000888e+00, 4.464267431130403696e-01, -1.447288674583249168e+00, 2.000000000000000000e+00, 7.500000000000000000e-01
5.500000000000000000e+00, 0.000000000000000000e+00, -1.550403162055337125e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
5.500000000000000888e+00, -4.464267431130400365e-01, -1.447288674583248946e+00, 2.000000000000000000e+00, 1.250000000000000000e+00
5.500000000000000000e+00, -8.111495292317932870e-01, -1.166158468190373387e+00, 2.000000000000000000e+00, 1.500000000000000000e+00
5.500000000000000888e+00, -1.057138459825558652e+00, -7.493324269117983549e-01, 2.000000000000000000e+00, 1.750000000000000000e+00
5.500000000000000000e+00, -1.147363636363636363e+00, -2.391304347826097576e-01, 2.000000000000000000e+00, 2.000000000000000000e+00
5.500000000000000000e+00, -1.057138459825559096e+00, 2.710715573465789507e-01, 2.000000000000000000e+00, 2.250000000000000000e+00
5.500000000000000000e+00, -8.111495292317932870e-01, 6.878975986251538721e-01, 2.000000000000000000e+00, 2.500000000000000000e+00
5.500000000000002665e+00, -4.464267431130402586e-01, 9.690278050180290981e-01, 2.000000000000000000e+00, 2.750000000000000000e+00
5.500000000000000000e+00, 0.000000000000000000e+00, 1.072142292490117610e+00, 2.000000000000000000e+00, 3.000000000000000000e+00
5.500000000000000000e+00, 4.464267431130399810e-01, 9.690278050180290981e-01, 2.000000000000000000e+00, 3.250000000000000000e+00
5.500000000000000000e+00, 8.111495292317932870e-01, 6.878975986251538721e-01, 2.000000000000000000e+00, 3.500000000000000000e+00
5.500000000000000000e+00, 1.057138459825558874e+00, 2.710715573465789507e-01, 2.000000000000000000e+00, 3.750000000000000000e+00
5.500000000000000000e+00, 1.147363636363636363e+00, -2.391304347826097576e-01, 2.000000000000000000e+00, 4.000000000000000000e+00
6.254275658487439493e+00, 1.170626459504132244e+00, -3.239225060072530304e-01, 2.200000000000000178e+00, 0.000000000000000000e+00
6.254275658487438605e+00, 1.073217808946577589e+00, -8.201343830472815899e-01, 2.200000000000000178e+00, 2.500000000000000000e-01
